Date, Open, High, Low, Close, Volume
04/27/23, 182.00, 185.00, 182.00, 184.50, 600
04/25/23, 180.00, 182.00, 180.00, 181.75, 11000
04/24/23, 180.00, 182.50, 180.00, 182.50, 29200
04/20/23, 189.50, 189.50, 189.00, 189.25, 200
04/18/23, 174.25, 174.25, 174.25, 174.25, 200
04/14/23, 159.00, 159.00, 158.50, 158.75, 300
04/13/23, 157.00, 157.00, 157.00, 157.00, 100
04/12/23, 157.00, 157.00, 156.00, 156.25, 700
04/11/23, 154.25, 154.25, 154.00, 154.00, 500
04/06/23, 170.00, 170.00, 165.00, 168.75, 1300
04/04/23, 178.00, 178.00, 178.00, 178.00, 100
04/03/23, 183.00, 190.00, 183.00, 183.00, 84800
03/31/23, 175.00, 179.00, 175.00, 177.00, 200
03/30/23, 170.00, 170.00, 170.00, 170.00, 200
03/29/23, 165.00, 165.00, 165.00, 165.00, 100
03/28/23, 160.00, 165.00, 160.00, 163.25, 600
03/24/23, 150.50, 150.50, 150.00, 150.00, 117200
03/23/23, 150.25, 150.25, 148.00, 148.25, 145200
03/22/23, 150.00, 150.00, 150.00, 150.00, 13300
03/21/23, 151.00, 151.00, 142.00, 150.00, 14800
03/20/23, 150.00, 150.00, 150.00, 150.00, 500
03/17/23, 151.50, 151.50, 151.50, 151.50, 700
03/16/23, 165.00, 165.00, 165.00, 165.00, 100
03/15/23, 165.00, 165.25, 165.00, 165.00, 6200
03/14/23, 165.00, 165.00, 165.00, 165.00, 1700
03/13/23, 176.00, 176.00, 170.00, 174.00, 1000
03/10/23, 178.25, 178.25, 175.00, 175.75, 8000
03/09/23, 178.25, 178.50, 178.00, 178.25, 6100
03/07/23, 178.25, 178.25, 178.25, 178.25, 800
03/06/23, 181.00, 181.00, 175.00, 176.50, 400
03/03/23, 184.00, 184.00, 183.00, 184.00, 800
03/02/23, 183.00, 183.00, 183.00, 183.00, 600
03/01/23, 184.00, 184.00, 184.00, 184.00, 900
02/28/23, 183.00, 183.00, 183.00, 183.00, 10700
02/27/23, 182.25, 183.00, 182.25, 183.00, 4300
02/24/23, 182.00, 182.25, 182.00, 182.25, 200
02/22/23, 183.00, 183.00, 183.00, 183.00, 2800
02/21/23, 183.75, 183.75, 183.00, 183.00, 5200
02/15/23, 183.00, 183.00, 183.00, 183.00, 9700
02/14/23, 183.00, 183.00, 183.00, 183.00, 8700
02/13/23, 183.00, 183.00, 183.00, 183.00, 3000
02/08/23, 183.00, 183.00, 181.00, 182.00, 3100
02/07/23, 181.00, 181.00, 181.00, 181.00, 1300
02/06/23, 185.75, 185.75, 180.25, 182.50, 2100
02/03/23, 185.25, 190.00, 185.00, 185.75, 800
02/02/23, 190.00, 195.00, 190.00, 192.25, 1100
02/01/23, 183.00, 190.00, 183.00, 184.75, 400
01/31/23, 190.00, 190.00, 180.75, 182.50, 7900
01/30/23, 194.50, 194.50, 190.00, 194.00, 8600
01/27/23, 194.25, 194.25, 194.25, 194.25, 1300
01/24/23, 194.25, 194.25, 194.25, 194.25, 200
01/23/23, 199.50, 199.50, 199.50, 199.50, 200
01/20/23, 195.00, 199.50, 191.25, 196.25, 1100
01/19/23, 199.50, 199.50, 199.50, 199.50, 100
01/18/23, 199.75, 199.75, 199.75, 199.75, 300
01/17/23, 199.75, 199.75, 199.75, 199.75, 200
01/16/23, 195.00, 195.00, 195.00, 195.00, 100
01/13/23, 195.00, 195.00, 195.00, 195.00, 100
01/12/23, 199.50, 200.00, 199.50, 199.75, 300
01/11/23, 195.00, 200.00, 195.00, 199.50, 4900
01/10/23, 200.00, 200.00, 200.00, 200.00, 600
01/09/23, 200.00, 200.00, 195.00, 200.00, 4700
01/06/23, 199.50, 200.00, 199.50, 200.00, 600
01/05/23, 199.50, 199.50, 190.00, 191.00, 900
01/04/23, 199.50, 199.50, 190.00, 193.25, 300
12/30/22, 199.00, 199.00, 198.00, 198.75, 3300
12/29/22, 199.00, 199.00, 190.00, 196.00, 300
12/23/22, 190.00, 190.00, 190.00, 190.00, 600
12/22/22, 195.00, 195.00, 195.00, 195.00, 800
12/21/22, 191.00, 199.75, 190.00, 195.25, 1500
12/20/22, 200.00, 200.00, 200.00, 200.00, 100
12/19/22, 200.00, 200.00, 199.00, 199.75, 300
12/16/22, 200.00, 200.00, 199.00, 200.00, 1900
12/15/22, 200.00, 200.00, 200.00, 200.00, 100
12/14/22, 199.00, 199.00, 180.00, 188.50, 84200
12/09/22, 200.00, 200.00, 200.00, 200.00, 200
12/02/22, 200.00, 200.00, 195.00, 197.50, 200
12/01/22, 200.00, 200.00, 200.00, 200.00, 200
11/30/22, 200.00, 200.00, 200.00, 200.00, 100
11/29/22, 200.00, 200.00, 200.00, 200.00, 200
11/28/22, 200.00, 200.00, 195.00, 197.00, 4100
11/25/22, 200.00, 200.00, 200.00, 200.00, 600
11/24/22, 199.00, 199.00, 190.00, 194.50, 4100
11/23/22, 200.00, 200.00, 200.00, 200.00, 4400
11/22/22, 198.00, 200.00, 198.00, 200.00, 5300
11/21/22, 200.00, 200.00, 199.00, 200.00, 41400
11/18/22, 198.25, 198.25, 185.00, 187.75, 900
11/17/22, 200.00, 200.00, 197.50, 198.25, 2300
11/16/22, 209.00, 209.00, 200.00, 202.50, 2200
11/15/22, 208.00, 208.00, 205.00, 205.25, 2300
11/14/22, 208.00, 209.00, 208.00, 208.50, 2100
11/11/22, 210.00, 210.00, 210.00, 210.00, 1000
11/10/22, 210.00, 215.00, 210.00, 213.25, 300
11/09/22, 215.00, 215.00, 215.00, 215.00, 1300
11/08/22, 215.00, 215.00, 215.00, 215.00, 100
11/07/22, 216.00, 220.00, 215.00, 215.75, 1600
11/04/22, 215.00, 215.00, 215.00, 215.00, 400
11/03/22, 225.00, 225.00, 219.00, 219.50, 5800
11/02/22, 225.00, 225.00, 225.00, 225.00, 3300
11/01/22, 225.00, 230.00, 225.00, 227.50, 200
10/28/22, 230.00, 230.00, 230.00, 230.00, 600
10/27/22, 233.00, 233.00, 221.00, 229.00, 600
10/26/22, 234.00, 234.00, 232.00, 232.25, 1100
10/25/22, 235.00, 235.00, 235.00, 235.00, 1000
10/24/22, 239.75, 239.75, 239.75, 239.75, 300
10/21/22, 240.00, 240.00, 235.00, 237.50, 400
10/19/22, 239.75, 239.75, 239.75, 239.75, 500
10/18/22, 240.00, 240.00, 240.00, 240.00, 3400
10/17/22, 240.00, 240.00, 240.00, 240.00, 1100
10/14/22, 240.00, 240.00, 240.00, 240.00, 2300
10/13/22, 240.00, 240.00, 240.00, 240.00, 100
10/12/22, 240.00, 241.00, 219.00, 231.75, 2600
10/11/22, 242.00, 242.00, 242.00, 242.00, 100
10/07/22, 240.00, 240.00, 240.00, 240.00, 200
10/06/22, 242.00, 242.00, 240.00, 241.75, 1600
10/05/22, 240.25, 243.00, 240.25, 241.00, 700
10/04/22, 243.00, 243.00, 243.00, 243.00, 1000
09/30/22, 245.00, 245.00, 245.00, 245.00, 300
09/28/22, 245.00, 245.00, 245.00, 245.00, 200
09/27/22, 245.00, 245.00, 240.00, 244.00, 500
09/26/22, 245.00, 245.00, 240.00, 242.50, 400
09/23/22, 245.25, 245.25, 245.00, 245.25, 20000
09/22/22, 255.00, 255.00, 245.00, 250.75, 700
09/19/22, 245.00, 245.25, 245.00, 245.00, 1700
09/16/22, 245.25, 245.25, 245.00, 245.25, 600
09/15/22, 245.25, 245.25, 245.25, 245.25, 900
09/14/22, 245.25, 245.25, 245.25, 245.25, 300
09/12/22, 245.25, 245.25, 245.25, 245.25, 1100
09/09/22, 245.00, 245.25, 245.00, 245.00, 1300
09/08/22, 250.00, 250.00, 245.00, 245.25, 3400
09/06/22, 241.25, 250.00, 241.25, 245.00, 30200
09/05/22, 245.00, 245.00, 245.00, 245.00, 9200
09/02/22, 240.25, 240.25, 240.25, 240.25, 200
